Food Name,Calories,Protein_g,Carbohydrates_g,taste,prep_time,Instructions,Description,Fat,Ingredients,No_serving
Dosa,120,3,28,"Astringent, Spicy",20 M,"Soak rice and urad dal for 4–6 hours, then grind them to a smooth batter and ferment overnight. Heat a pan and grease it lightly with coconut oil. Pour a ladle of the fermented rice–urad dal batter, spread it thin, and sprinkle a few cumin seeds if desired. Cook until golden brown on both sides. Serve hot with chutney and sambar.","Low in saturated fat, aids digestion, and provides complex carbs for steady energy.",4,"Rice, Urad Dal, Coconut Oil, Cumin Seeds",1
Ragi Dosa,130,3.5,25,"Astringent, Spicy",25 M,"Mix ragi flour, rice flour, and a pinch of salt in water to form a smooth batter. Let it rest for about 10–15 minutes. Heat a pan and brush with coconut oil. Pour a ladle of batter, spread it thin, and sprinkle some cumin seeds. Cook until crisp and golden. Serve warm with chutney or curry.","High in soluble fiber, helps reduce LDL (bad cholesterol) levels.",3.5,"Ragi Flour, Rice, Urad Dal, Coconut Oil, Cumin Seeds",1
Oats Dosa,125,4,27,"Astringent, Spicy",25 M,"Grind oats into a fine powder and mix it with rice flour, yogurt, salt, and water to make a smooth batter. Heat a pan and brush lightly with olive oil. Pour the batter, spread it thin, and sprinkle a few cumin seeds. Cook until crisp and brown. Serve warm with chutney.","Rich in beta-glucan, lowers cholesterol, and supports heart health.",3.5,"Oats Flour, Rice, Urad Dal, Olive Oil, Cumin Seeds",1
Pesarattu,140,5,30,"Astringent, Spicy",25 M,"Soak green gram overnight, then grind it with ginger, green chilies, and salt into a smooth batter. Heat a pan, grease it with coconut oil, pour the batter, and spread it evenly. Cook until golden brown and crisp. Serve with fresh coconut chutney.","Made with green gram, high in protein and fiber, helps control cholesterol.",4,"Moong Dal, Rice, Ginger, Green Chili, Coconut Oil",1
Uttapam,150,4.5,32,"Spicy, Sour",20 M,"Prepare a dosa batter using rice and urad dal and allow it to ferment. Heat a pan and grease with coconut oil. Pour a thick layer of batter, then top with chopped onions, tomatoes, and green chilies. Sprinkle a few cumin seeds, cook until the bottom turns golden, flip lightly, and cook the other side briefly. Serve hot with chutney and sambar.","Contains vegetables, low in fat, helps maintain healthy lipid levels.",4.5,"Rice, Urad Dal, Onion, Tomato, Green Chili, Coconut Oil, Cumin Seeds",1
Rava Upma,160,4,35,"Sour, Astringent",15 M,"Lightly roast rava in a pan and set aside. Heat coconut oil, add mustard seeds, curry leaves, and finely chopped onions. Once fragrant, add green chilies and water, then bring to a boil. Slowly add the roasted rava while stirring continuously to avoid lumps. Cook until the water is absorbed. Serve hot.","Provides soluble fiber, good for cholesterol control, and light on the stomach.",5,"Rava, Mustard Seeds, Curry Leaves, Coconut Oil, Onion, Green Chili",1
Vegetable Upma,170,4.5,33,"Bitter, Astringent",20 M,"Roast rava lightly and keep aside. In coconut oil, sauté chopped carrot, beans, and peas with mustard seeds, curry leaves, and green chilies. Pour in boiling water, then gradually add rava while stirring. Cook until soft and fluffy. Serve hot with chutney.","High in fiber and antioxidants, aids in lowering bad cholesterol.",4.5,"Rava , Carrot, Beans, Peas, Mustard Seeds, Curry Leaves, Coconut Oil, Green Chili",1
Lemon Rice,200,3,40,"Sour, Spicy",15 M,"Cook rice and let it cool completely. Heat coconut oil, add mustard seeds, curry leaves, and chopped green chili. Stir in turmeric and Lemon, then mix the seasoned oil with the rice until well-coated. Garnish with fresh coriander and serve warm.","Low-fat and antioxidant-rich, supports heart health.",3,"Cooked Rice, Lemon, Turmeric, Curry Leaves, Mustard Seeds, Coconut Oil, Green Chili",1
Tamarind Rice,210,3,42,"Sour, Spicy",20 M,"Cook rice and allow it to cool. Prepare a tamarind paste by soaking tamarind in warm water. Heat coconut oil, add mustard seeds, curry leaves, green chili, and peanuts. Pour in the tamarind extract, simmer until thickened, then mix with the cooked rice. Toss well and serve hot.","Rich in polyphenols, can help reduce LDL cholesterol.",3,"Cooked Rice, Tamarind Paste, Curry Leaves, Mustard Seeds, Coconut Oil, Green Chili, Peanuts",1
Curd Rice (low-fat),180,3.5,25,"Sour, Astringent",10 M,"Cook rice and mix it with Yogurt and salt. Heat coconut oil, add mustard seeds, curry leaves, and green chili, then pour this tempering over the curd rice. Garnish with coriander leaves and serve chilled or at room temperature.","Provides probiotics, helps maintain healthy cholesterol and gut.",2,"Cooked Rice, Yogurt, Curry Leaves, Mustard Seeds, Coconut Oil, Green Chili",2
Brown Rice Pulao,220,5,45,"Astringent, Bitter",25 M,"Cook brown rice until soft. Heat coconut oil and sauté chopped carrot, beans, peas, onion, and garlic with cumin seeds and coriander powder. Mix in the cooked rice, toss gently, and serve warm.","Whole grain, rich in fiber, reduces cholesterol absorption.",3,"Brown Rice, Carrot, Beans, Peas, Onion, Garlic, Coconut Oil, Cumin Seeds, Coriander Powder",2
Vegetable Biryani (brown rice),250,6,48,"Spicy, Bitter",35 M,"Cook brown rice and keep aside. Heat coconut oil and sauté chopped carrot, beans, peas, capsicum, onion, tomato, ginger, and garlic with cumin seeds, turmeric, and coriander powder. Add Yogurt and layer it with brown rice. Mix lightly and serve hot.","Fiber-rich and antioxidant-loaded, supports heart health.",5,"Brown Rice, Carrot, Beans, Peas, Capsicum, Onion, Tomato, Garlic, Ginger, Yogurt, Coconut Oil, Cumin Seeds, Coriander Powder, Turmeric",2
Khichdi (moong dal),180,7,30,"Astringent, Sour",30 M,"Wash and soak moong dal for 1 hour, then cook it with rice, chopped carrot, and beans until soft. Add turmeric, cumin seeds, and a touch of coconut oil. Stir well and serve hot.","High protein and fiber, helps reduce LDL cholesterol.",3,"Rice, Moong Dal, Carrot, Beans, Coconut Oil, Cumin Seeds, Turmeric",2
"Pongal (ven pongal, moong dal)",200,7.5,34,"Astringent, Spicy",25 M,"Cook moong dal and rice together with water until soft. Stir in ginger paste, black pepper, cumin seeds, and a drizzle of coconut oil. Mix to thick consistency and serve hot.","Low-fat, protein-rich, aids in cholesterol management.",4,"Rice, Moong Dal, Ginger, Black Pepper, Coconut Oil, Cumin Seeds",2
Ragi Mudde,210,6.5,20,"Bitter, Astringent",30 M,"Mix ragi flour with water to form a dough, shape it into balls, and steam or cook them in hot water. Serve warm with sambar or curry.","High in soluble fiber, promotes heart health and lowers bad cholesterol.",1,Ragi Flour,2
Adai (dal dosa),150,5,22,"Spicy, Bitter",30 M,"Soak toor dal,Chana Dal dal, moong dal, and rice, grind to a coarse batter, and heat a pan. Pour the batter, spread thick, and cook both sides with a little coconut oil, red chili, and cumin seeds until golden. Serve with chutney.","Protein and fiber-rich, helps maintain healthy cholesterol levels.",4,"Toor Dal,Chana Dal Dal, Moong Dal, Rice, Coconut Oil, Red Chili, Cumin Seeds",2
Adai Avial Combo,220,6.5,25,"Spicy, Bitter",15 M,"Prepare adai dosa using toor dal,Chana Dal dal, moong dal, and serve it with avial made from carrot, beans, snake gourd, bottle gourd, coconut, yogurt, and coconut oil.","Balanced mix of fiber and protein, supports heart health.",5,"Toor Dal,Chana Dal Dal, Moong Dal, Carrot, Beans, Snake Gourd, Bottle Gourd, Coconut, Yogurt, Coconut Oil, Cumin Seeds",2
Phulka,100,3,15,Astringent,15 M,"Knead Wheat Flour with water and a few drops of olive oil into a soft dough, roll it thin, and cook on a hot griddle until puffed. Serve hot.","Low-fat Wheat flatbread, good for maintaining cholesterol.",0.5,"Wheat Flour, Olive Oil",2
Chapati (without ghee),110,3,20,Astringent,15 M,"Knead Wheat Flour with water and olive oil, roll into flat discs, and cook on a hot griddle without ghee. Serve warm.","Low in saturated fat, helps regulate blood cholesterol.",0.5,"Wheat Flour, Olive Oil",2
Bajra Roti,115,3.5,21,"Astringent, Bitter",25 M,"Mix bajra flour with water and a little olive oil, knead into dough, roll out, and cook on a hot griddle. Serve hot.","High in fiber, reduces cholesterol absorption, supports heart health.",1,"Bajra Flour, Olive Oil",2
Jowar Roti,120,3,21,"Astringent, Bitter",25 M,"Mix jowar flour with water and olive oil, knead well, roll thin, and cook both sides on a hot griddle. Serve warm.","Gluten-free, rich in fiber, helps maintain healthy lipid profile.",1,"Jowar Flour, Olive Oil",2
Ragi Roti,130,3.5,20,"Astringent, Bitter",25 M,"Mix ragi flour with water and olive oil, knead into dough, roll flat, and cook both sides until light brown. Serve hot.","Soluble fiber-rich, lowers LDL cholesterol, and promotes satiety.",1,"Ragi Flour, Olive Oil",2
