Food Name,Calories,Protein_g,Carbohydrates_g,taste,Ingredients,prep_time,Instructions,Description,Fat,No_serving
Vegetable besan pancakes (without oil),150,6,15,"Spicy, Salty","Besan , Carrot, Cabbage,Beans,Turmeric, Red Chili, Cumin, Salt",Total in 20 M,"Mix besan, chopped carrot, cabbage, and beans in a bowl. Add turmeric, red chili, cumin, and salt. Gradually add water to form a smooth batter. Heat a non-stick pan on medium flame and pour small portions of batter. Cook on both sides until golden brown. Serve hot with chutney or yogurt.","High-protein chickpea flour pancakes with fiber-rich vegetables, keeping blood sugar stable.",5,                 2–3
Ragi malt (unsweetened),120,3,20,"Astringent, Bitter","Ragi Flour, Milk, Salt",Total in 10 M,Mix ragi flour with a little water to form a smooth paste. Boil milk or water in a pan. Slowly add the ragi paste while stirring continuously to avoid lumps. Add a pinch of salt and cook on low flame until it thickens. Serve warm.,"Naturally gluten-free and high in calcium, ragi has low GI to control glucose spikes.",2,1
Bitter Gourd Crunch Stir-Fry,150,6,20,"Bitter, Salty","Bitter Gourd, Onion, Garlic, Green Chili, Mustard Seeds, Cumin Seeds, Turmeric, Salt, Sunflower Oil",Total in 15M,"Slice bitter gourd thinly and remove seeds. Heat sunflower oil in a pan and add mustard seeds and cumin seeds; allow them to splutter. Add chopped onion, garlic, and green chili; sauté until golden. Add turmeric and salt, then stir in the bitter gourd. Fry on medium heat until slightly crispy. Serve hot.","Crisp, fiber-rich, and slightly bitter stir-fry, ideal for diabetics",5,2
Vegetable moong dal appe/paniyaram,180,7,18,"Spicy, Salty","Moong Dal , Chopped Carrot, Cabbage, Beans, Turmeric, Red Chili, Cumin, Salt, Sunflower Oil",Total in 30 M,"Soak moong dal for 2 hours and grind into a smooth batter. Add chopped carrot, cabbage, and beans along with turmeric, red chili, cumin, and salt. Heat an appe pan, grease with sunflower oil, and pour batter into molds. Cook until golden brown on all sides. Serve with chutney.",Protein-rich moong dal with veggies ensures slow-release energy.,4,3–4
"Cabbage, Carrot, Beets, Cauliflower, Tomato sprouts dosa",200,8,20,"Spicy, Astringent","Sprouts , Rice Flour , Turmeric, Red Chili, Cumin, Salt, Sunflower Oil",Total in 25 M,"Soak sprouts for a few hours. Grind with cabbage, carrot, beets, cauliflower, and tomato to make a smooth batter. Mix in rice flour, turmeric, red chili, cumin, and salt. Heat sunflower oil in a non-stick pan. Pour a ladle of batter and spread thinly like a pancake. Cook both sides until crisp. Serve hot.",Sprouts increase protein and reduce carbohydrate impact on blood sugar.,3,2
"Vegetable handvo (baked, low oil)",220,8,22,"Spicy, Salty, Astringent","Besan, Rice Flour , Carrot, Beans, Capsicum, Yogurt , Ginger, Red Chili, Turmeric, Baking Soda, Salt, Sunflower Oil",Total in 60 M,"Mix besan, rice flour, yogurt, and chopped carrot, beans, and capsicum in a bowl. Add ginger, red chili, turmeric, baking soda, and salt. Add a little sunflower oil and mix into a smooth batter. Grease a baking pan, pour in the batter, and bake until golden brown. Serve warm with chutney.","Baked besan-based dish with vegetables for fiber and low-fat, minimizing sugar spikes.",6,4–6
Sattu drink (roasted gram flour with water+cumin+lemon),100,7,12,"Sour, Astringent","Gram Flour , Cumin Powder , Lemon , Salt",Total in 5 M,"Add roasted gram flour (sattu) to a glass. Pour water and stir well. Add cumin powder and salt, then squeeze fresh lemon juice. Mix thoroughly until smooth and serve chilled as a refreshing drink.","High-protein, low-GI drink that helps control post-meal blood sugar.",1.5,1
Vegetable quinoa cutlet (air-fried/baked),160,6,20,"Spicy, Salty","Quinoa, Carrot, Beans, Capsicum, Besan, Turmeric, Red Chili, Cumin, Salt, Sunflower Oil",Total in 30 M,"Cook quinoa until soft. In a bowl, mix cooked quinoa with mashed carrot, beans, and capsicum. Add besan, turmeric, red chili, cumin, and salt. Shape the mixture into small cutlets. Brush with sunflower oil and air-fry or bake until golden. Serve with green chutney.","Quinoa provides complete protein and low GI, paired with veggies for fiber.",4,2–3
Boiled potato chaat (in moderation),140,2,20,"Sour, Spicy","Potato, Onion , Tomato , Coriander Leaves, Green Chili, Lemon , Salt",Total in 15 M,"Boil potato until tender. Peel and cut into bite-sized pieces. Add chopped onion, tomato, green chili, and coriander leaves. Sprinkle salt and squeeze lemon juice over it. Toss gently and serve as a light salad.",Sweet potatoes have moderate GI; fiber and portion control help manage glucose.,0.5,1–2
"Wheat veg sandwich (no butter, use hung curd or hummus)",220,8,28,"Spicy, Salty, Astringent","Wheat Bread , Cucumber, Tomato, Lettuce, Curd, Hummus, Salt",Total in 10 M,"Spread curd or hummus on slices of wheat bread. Layer with cucumber, tomato, and lettuce slices. Sprinkle a pinch of salt and herbs. Cover with another bread slice, cut diagonally, and serve fresh.",Wheat and protein-rich spreads prevent rapid blood sugar rise.,8,1
Rajgira (Amaranth) khichdi,200,7,30,"Astringent, Bitter","Amaranth Seeds , Moong Dal, Ghee, Cumin Seeds, Turmeric, Salt",Total in 25 M,Wash and soak amaranth seeds and moong dal for 30 minutes. Heat ghee in a pan and add cumin seeds. Add soaked amaranth and dal with turmeric and salt. Cook with water until soft and creamy. Serve hot with a drizzle of ghee or curd.,"Amaranth and moong dal provide protein and fiber, supporting slow sugar release.",3,2
Barley vegetable khichdi,210,6,32,"Astringent, Salty","Barley , Moong Dal, Carrot, Beans, Capsicum, Cumin Seeds, Turmeric, Salt, Ghee",Total in 30 M,"Soak barley and moong dal for 30 minutes. Cook with chopped carrot, beans, and capsicum. Add cumin seeds, turmeric, salt, and a spoon of ghee. Simmer until grains and dal are soft. Serve warm with yogurt or pickle.",Barley’s beta-glucan fiber lowers post-meal glucose and improves satiety.,2.5,2
Cauliflower millet pulao,230,5,25,"Spicy, Astringent","Cauliflower, Pearl Millet, Carrot, Beans, Capsicum, Cumin Seeds, Turmeric, Red Chili, Salt, Sunflower Oil",Total in 30 M,"Cook pearl millet until fluffy. Sauté cauliflower, carrot, beans, and capsicum in sunflower oil with cumin seeds, turmeric, red chili, and salt. Mix in the cooked millet and stir well for a few minutes. Serve hot.","Low-carb cauliflower with millet makes a filling, low-GI meal for diabetics.",3,2–3
Bottle gourd thepla,170,5,18,"Bitter, Spicy","Wheat, Bottle Gourd ,Turmeric, Red Chili, Cumin, Salt, Sunflower Oil",Total in 25 M,"Grate bottle gourd and squeeze out excess water. Mix with wheat, turmeric, red chili, cumin, and salt to form soft dough. Roll into thin theplas. Cook on a hot tawa with a little sunflower oil on both sides until golden. Serve with curd or pickle.","High-fiber, low-calorie flour with veggies prevents blood sugar spikes.",4,2
Vegetable jowar upma,190,6,28,"Spicy, Astringent","Jowar Flour , Carrot, Beans, Capsicum, Mustard Seeds, Curry Leaves, Green Chili, Salt, Sunflower Oil",Total in 25 M,"Roast jowar flour lightly in a pan. Heat sunflower oil, add mustard seeds, curry leaves, and green chili; let them splutter. Add chopped carrot, beans, and capsicum; sauté for a few minutes. Pour water and bring to a boil. Gradually add roasted jowar flour while stirring to avoid lumps. Add salt, cook until thick and fluffy, and serve hot.","Sorghum (jowar) is a low-GI millet; combined with vegetables, it aids glucose control.",3,2
Soy chunks curry (nutrela soya curry),210,15,10,"Spicy, Salty","Soy Chunks , Onion , Tomato, Garlic, Ginger,Turmeric, Red Chili, Cumin, Salt, Sunflower Oil",Total in 35 M,"Soak soy chunks in hot water until soft, then squeeze excess water. Heat sunflower oil in a pan, add chopped onion, ginger, and garlic; sauté until golden. Add tomato, turmeric, red chili, cumin, and salt. Stir in soy chunks and add water or broth to make a gravy. Simmer until thickened and serve hot.",Soy protein reduces carbohydrate load and stabilizes blood sugar.,8,3–4
Drumstick leaves stir fry with dal,150,6,10,"Bitter, Astringent","Drumstick Leaves , Cooked Toor Dal, Mustard Seeds, Garlic, Green Chili, Salt, Sunflower Oil",Total in 20 M,"Wash and chop drumstick leaves. Cook toor dal until soft. Heat sunflower oil, add mustard seeds, garlic, and green chili; sauté until fragrant. Add drumstick leaves, sauté lightly, then mix with cooked dal. Add salt, simmer for a few minutes, and serve warm.","Moringa leaves are rich in fiber, antioxidants, and support insulin sensitivity.",4,2–3
Vegetable Fenugreek Leaves thepla roll (with curd dip),200,6,20,"Bitter, Spicy, Astringent","Wheat,Fenugreek, Turmeric, Red Chili, Cumin, Salt, Sunflower Oil",Total in 30 M,"Mix wheat flour, chopped fenugreek leaves, turmeric, red chili, cumin, and salt. Add water to knead into soft dough. Roll into thin theplas. Heat sunflower oil on a tawa and cook both sides until golden. Serve with curd or dip of choice.",Fenugreek (Fenugreek Leaves) slows digestion and improves post-meal glycemic response.,5,1
"Raw banana curry (boiled, light masala)",160,2,22,"Astringent, Spicy","Raw Banana , Onion, Tomato , Green Chili, Turmeric, Mustard Seeds, Salt, Sunflower Oil",Total in 25 M,"Peel and boil raw banana until soft. Heat sunflower oil, add mustard seeds, then sauté onion, tomato, and green chili with turmeric and salt. Add boiled banana pieces, mash lightly, and cook for 5–7 minutes. Garnish with coriander and serve hot.","Boiled raw banana is low-GI, providing slow-release carbohydrates.",2.5,3
Moringa (drumstick leaves) dal curry,190,6,12,"Bitter, Astringent","Moringa Leaves, Toor Dal, Onion , Tomato ,Turmeric, Red Chili, Cumin, Salt, Sunflower Oil",Total in 25 M,"Cook toor dal until soft. Wash and chop moringa leaves. Heat sunflower oil, add cumin, turmeric, red chili, and salt; sauté with onion and tomato. Add moringa leaves and cooked dal. Mix well, simmer briefly, and serve hot.",Protein and fiber-rich dal with moringa supports glucose regulation.,4,3
"Lentil vegetable stew(no coconut,less oil)",180,6,15,"Astringent, Salty","Toor, Moong, Masoor, Carrot, Beans, Capsicum, Turmeric, Red Chili, Cumin, Salt, Sunflower Oil",Total in 35 M,"Boil toor, moong, and masoor dal until tender. Heat sunflower oil, add cumin, turmeric, red chili, and salt. Add chopped carrot, beans, and capsicum, and sauté. Combine with the lentils, add water, simmer until soft, and serve as a nutritious stew.",Lentils and veggies provide soluble fiber and slow sugar absorption.,3,3–4
Karela(bitter gourd)stir fry with onion&tomato,130,2,8,"Bitter, Spicy","Bitter Gourd , Onion, Tomato , Turmeric, Red Chili, Cumin, Salt, Sunflower Oil",Total in 20 M,"Slice bitter gourd and remove seeds. Heat sunflower oil, add cumin, and sauté onion and tomato with turmeric, red chili, and salt. Add bitter gourd slices and cook until tender and slightly crisp. Serve warm.",Bitter gourd may help lower blood sugar naturally and is low in calories.,6,2–3
Karela stuffed with spiced dal mix(steamed/baked),170,5,12,"Bitter, Spicy, Astringent","Bitter Gourd , Moong, Turmeric, Red Chili, Salt, Sunflower Oil",Total in 40 M,Boil moong dal with turmeric and salt until thick. Slice bitter gourd and remove seeds. Stuff karela with cooked moong dal mixture seasoned with red chili and cumin. Steam or bake stuffed karela until tender. Serve with chutney.,"High-fiber and protein-rich, steamed preparation keeps it low-GI.",3,2–3
Radish sambhar(low oil),120,3,10,"Sour, Spicy","Radish, Toor Dal, Tamarind Paste, Mustard Seeds, Cumin Seeds, Red Chili, Salt, Sunflower Oil",Total in 30 M,"Cook toor dal until soft. Heat sunflower oil, add mustard seeds, cumin seeds, red chili, and radish; sauté lightly. Add tamarind paste, cooked dal, and salt. Simmer 5–7 minutes and serve hot with rice.","Radish and dal combination offers fiber, antioxidants, and low glycemic load.",2,3–4
"Bottle gourd+moong dal kofta(steamed,not fried)",150,6,14,"Astringent, Spicy","Bottle Gourd , Moong Dal, Turmeric, Red Chili, Cumin, Salt, Sunflower Oil",Total in 35 M,"Grate bottle gourd and mix with soaked moong dal, turmeric, red chili, cumin, and salt. Shape into small balls and steam until firm. Heat sunflower oil, add tomato-based gravy, and drop steamed koftas. Simmer and serve.","Steamed koftas with dal and bottle gourd are low in fat and carbs, ideal for glucose control.",4,3
