Food Name,Calories,Protein_g,Carbohydrates_g,taste,Ingredients,prep_time,Instruction,Description,Fat,No_serving,
Mackerel Curry (Bangda Curry),300,25,8,"Salty, Bitter","Mackerel Fish, Onion, Tomato, Garlic, Ginger, Green Chili, Coconut Oil, Tamarind, Turmeric Powder, Red Chili Powder, Coriander Powder, Salt",Total in 35 M,"Heat coconut oil; sauté garlic, ginger, onion, and green chili; add tomato and spices (turmeric, red chili, coriander); pour tamarind water and salt; add mackerel and simmer gently until cooked.","Rich in omega-3 fatty acids (DHA), supports retinal function and reduces risk of age-related macular degeneration.",9,1,
Sardine Fry (Mathi Varuval),320,24,8,Salty,"Sardine Fish, Garlic, Ginger, Red Chili Powder, Turmeric Powder, Lemon Juice, Rice Flour, Coconut Oil, Salt",Total in 25 M,"Marinate sardines with crushed garlic, ginger, red chili powder, turmeric, lemon juice, and salt; dust with rice flour; shallow-fry in hot coconut oil until crisp on both sides.","Packed with vitamin D, vitamin A, and omega-3s; promotes overall eye health and reduces dryness.",8,1,
Rohu Fish Curry,300,23,8,Salty,"Rohu Fish, Onion, Tomato, Garlic, Ginger, Green Chili, Mustard Oil, Turmeric Powder, Red Chili Powder, Cumin Seeds, Salt",Total in 40 M,"Heat mustard oil; crackle cumin; sauté garlic, ginger, onion, and green chili; add tomato, turmeric, and red chili; add rohu, salt, and water; simmer until fish is cooked and gravy reduces.",Contains DHA and vitamin A; beneficial for retina and night vision.,4,1,
Hilsa Fish Jhol (Ilish),300,24,8,Salty,"Hilsa Fish, Potato, Brinjal, Mustard Oil, Green Chili, Nigella Seeds, Turmeric Powder, Salt",Total in 45 M,Heat mustard oil; crackle nigella; add green chili and turmeric-coated hilsa with potato and brinjal; salt and water; simmer gently until vegetables and fish are done.,"High in omega-3s, antioxidants support retinal and lens health.",6,5,
Salmon Tikka (grilled),320,26,8,Salty,"Salmon Fish, Yogurt, Garlic, Ginger, Red Chili Powder, Turmeric Powder, Garam Masala, Lemon Juice, Mustard Oil, Salt",Total in 30 M,"Whisk yogurt with garlic, ginger, red chili powder, turmeric, garam masala, lemon juice, salt, and a little mustard oil; coat salmon and marinate; grill or bake until just cooked.",Omega-3 fatty acids and antioxidants protect against macular degeneration.,12,5,
Seer Fish Curry (Vanjaram Meen Kuzhambu),300,24,8,Salty,"Seer Fish, Onion, Tomato, Tamarind Pulp, Garlic, Ginger, Green Chili, Curry Leaves, Red Chili Powder, Turmeric Powder, Mustard Seeds, Sunflower Oil, Salt",Total in 40 M,"Heat sunflower oil; splutter mustard seeds and curry leaves; sauté garlic, ginger, onion, green chili; add tomato, turmeric, red chili, tamarind, salt, and water; add seer fish and simmer till done.","Provides vitamin A, zinc, and omega-3s for retinal protection.",7,2,
Pomfret Steamed in Banana Leaf (Patra Ni Machhi),240,22,8,Salty,"Pomfret Fish, Coriander Leaves, Mint Leaves, Green Chili, Garlic, Ginger, Lemon Juice, Coconut, Banana Leaf, Mustard Oil, Salt",Total in 50 M,"Blend coriander, mint, green chili, garlic, ginger, lemon juice, coconut, and salt to a paste; coat pomfret; brush banana leaf with mustard oil, wrap fish, and steam or grill until cooked.",Light steaming preserves omega-3s; supports eye health and reduces inflammation.,10,2,
Anchovy Fry (Nethili Meen Varuval),300,22,8,Salty,"Anchovy Fish, Garlic, Ginger, Red Chili Powder, Turmeric Powder, Lemon Juice, Rice Flour, Coconut Oil, Salt",Total in 20 M,"Marinate anchovies with garlic, ginger, red chili powder, turmeric, lemon juice, and salt; dust with rice flour; shallow-fry in hot coconut oil until crisp.","Small fish rich in vitamin A and DHA, promoting retinal and lens function.",6,2,
Tilapia Masala Curry,300,23,8,Salty,"Tilapia Fish, Onion, Tomato, Garlic, Ginger, Green Chili, Coconut Milk, Red Chili Powder, Turmeric Powder, Coriander Powder, Sunflower Oil, Salt",Total in 35 M,"Heat sunflower oil; sauté garlic, ginger, onion, and green chili; add tomato, red chili, turmeric, coriander, and salt; pour coconut milk with water; add tilapia and simmer gently till done.",Contains omega-3s and antioxidants for retinal cell protection.,5,2,
Tuna Cutlet (Kerala style),320,25,8,Salty,"Tuna Fish, Potato, Onion, Green Chili, Garlic, Ginger, Curry Leaves, Turmeric Powder, Black Pepper, Bread Crumbs, Egg, Coconut Oil, Salt",Total in 40 M,"Boil potato; flake cooked tuna; sauté onion, green chili, garlic, ginger, and curry leaves in coconut oil; mix with tuna, turmeric, pepper, salt; bind with egg; coat in breadcrumbs; shallow-fry patties.","High in DHA, vitamin A, and protein; supports night vision and overall eye health.",8,5,
Fish Moilee (Coconut Milk Curry),360,23,2,"Sweet, Salty","Fish (Seer/Kingfish), Onion, Tomato, Garlic, Ginger, Green Chili, Curry Leaves, Coconut Milk, Turmeric Powder, Coconut Oil, Salt",Total in 40 M,"Heat coconut oil; sauté onion, green chili, garlic, and ginger with curry leaves; add tomato, turmeric, and salt; pour coconut milk; add seer fish and simmer gently until cooked.","Omega-3 rich fish combined with antioxidants from Turmeric Powder, Red Chili Powder ,Coriander Powder ,Cumin Powder, Garam Masala; supports retinal health.",12,1,
Fish Stew (Kerala Meen Stew),300,22,2,"Sweet, Salty","Fish (Seer/Kingfish), Potato, Onion, Tomato, Garlic, Ginger, Green Chili, Curry Leaves, Coconut Milk, Black Pepper Powder, Coconut Oil, Salt",Total in 45 M,"Parboil potato; heat coconut oil; sauté onion, green chili, garlic, ginger, and curry leaves; add tomato, black pepper, salt, and coconut milk; add kingfish and simmer till fish and potato are done.",Nutrient-rich fish with coconut milk provides DHA and vitamin A for eyes.,10,1,
Grilled Kingfish (Surmai),240,24,8,Salty,"Kingfish, Garlic, Ginger, Red Chili Powder, Lemon Juice, Turmeric Powder, Black Pepper Powder, Mustard Oil, Salt",Total in 30 M,"Marinate kingfish with garlic, ginger, red chili powder, lemon juice, turmeric, black pepper, mustard oil, and salt; rest; pan-sear or grill until just cooked.",Omega-3s and zinc protect retina and maintain good visual acuity.,11,3,
Catla Fish Curry (Bengali Rui Maach),300,23,8,Salty,"Catla Fish, Onion, Tomato, Potato, Mustard Oil, Garlic, Ginger, Green Chili, Cumin Seeds, Turmeric Powder, Salt",Total in 45 M,"Heat mustard oil; crackle cumin; sauté garlic, ginger, onion, and green chili; add tomato, turmeric, and salt; add potato and catla with water; simmer until fish and potato are cooked.",DHA and vitamin A content support eye health and night vision.,6,3,
Prawn Spinach Curry,300,20,3,"Salty, Bitter","Prawn, Spinach Leaves, Onion, Tomato, Garlic, Ginger, Green Chili, Red Chili Powder, Turmeric Powder, Sunflower Oil, Salt",Total in 35 M,"Heat sunflower oil; sauté garlic, ginger, onion, and green chili; add tomato, red chili, turmeric, and salt; add prawns and spinach; cook just until prawns turn opaque and sauce coats.",Spinach provides lutein and zeaxanthin; prawns add zinc and omega-3s for retina.,5,3,
Crab & Drumstick Leaf Curry,300,18,3,"Bitter, Salty","Crab, Drumstick Leaves, Onion, Tomato, Garlic, Ginger, Green Chili, Tamarind Pulp, Red Chili Powder, Turmeric Powder, Coconut Oil, Salt",Total in 50 M,"Heat coconut oil; sauté garlic, ginger, onion, and green chili; add tomato, red chili, turmeric, tamarind, and salt with water; add cleaned crab and drumstick leaves; simmer until cooked and leaves wilt.",Drumstick leaves rich in vitamin A and beta-carotene; crab adds omega-3s for retinal protection.,6,1,
Fish Head Dal (Macher Muro Diye Dal ? Bengal),300,20,18,"Salty, Bitter","Fish Head-Rohu, Moong Dal, Onion, Tomato, Garlic, Ginger, Green Chili, Turmeric Powder, Mustard Oil, Salt",Total in 40 M,"Fry fish head in hot mustard oil; cook moong dal with turmeric and salt; sauté onion, tomato, garlic, ginger, and green chili in remaining oil; combine dal and fish head; simmer and adjust consistency.",Combines fish DHA with lentil protein; supports retinal and lens health.,4,1,
Sardine Thoran (with coconut & curry leaves),300,20,2,"Bitter, Astringent","Sardine Fish, Grated Coconut, Green Chili, Garlic, Curry Leaves, Coconut Oil, Turmeric Powder, Mustard Seeds, Salt",Total in 30 M,Heat coconut oil; splutter mustard seeds with curry leaves; add garlic and green chili; stir in turmeric and salt; add sardines and grated coconut; toss and cook covered until just done.,Curry leaves are high in vitamin A; sardines provide omega-3s for macular health.,9,1,
Fish Soup (spiced with ginger & turmeric),180,18,1,"Bitter, Sweet","Fish, Onion, Garlic, Ginger, Green Chili, Turmeric Powder, Black Pepper Powder, Lemon Juice, Coriander Leaves, Sunflower Oil, Salt",Total in 30 M,"Marinate fish with crushed garlic, ginger, green chili, turmeric, black pepper, lemon juice, salt, and a little oil; pan-sear in sunflower oil; garnish with chopped coriander leaves.","Omega-3s from fish combined with anti-inflammatory Turmeric Powder, Red Chili Powder ,Coriander Powder ,Cumin Powder, Garam Masala protect eyes from oxidative stress.",3,1,
