Food Name,Calories,Protein_g,Carbohydrates_g,Taste,Ingredients,prep_time,Instructions,Description,Fat,No_serving
Traditional Vanjaram Fish Curry Taste,275,18,13,Spicy,"Chili Powder, Coconut, Fish, Garlic, Mustard Seeds, Salt, Tamarind",Total in 69M,Heat oil in a pan over medium heat. Add Mustard Seeds and let them splutter. Add Garlic and saute  1-2 minutes. Add Chili Powder and mix well. Add the main ingredients and coat with the masala. Add water as needed cover and cook until done. Add grated Coconut and cook for 2 more minutes. Season with Salt and serve.,A thyroid-friendly fish recipe made with balanced spices and wholesome ingredients for better metabolism.,11,4
Mild Paneer Thokku Delight,180,8,26,Spicy,"Onion, Paneer, Pepper, Salt, Tomato",Total in 62M,Heat oil in a pan. Add all vegetables and spices. Cook on medium heat stirring occasionally. Season with Salt and serve hot.,A thyroid-friendly paneer recipe made with balanced spices and wholesome ingredients for better metabolism.,4,3
Homestyle Pepper Rasam Taste,307,20,29,Spicy,"Garlic, Mustard Seeds, Pepper, Salt, Tamarind, Tomato, Water",Total in 64M,Boil water in a pot. saute  until golden brown. Add Tomato and cook until soft. Add water and bring to a boil. Add Tamarind extract and simmer for 5-7 minutes. Season with Salt and serve hot.,A thyroid-friendly soup recipe made with balanced spices and wholesome ingredients for better metabolism.,5,3
Classic Upma Taste,150,12,15,Astringent,"Ghee, Rice, Salt, Urad Dal",Total in 28M,Heat Ghee in a pan. Add all vegetables and spices. Cook on medium heat stirring occasionally. Season with Salt and serve hot.,A thyroid-friendly tiffin recipe made with balanced spices and wholesome ingredients for better metabolism.,11,3
Fragrant Kudal Curry Treat,326,7,8,Spicy,"Chili Powder, Fennel Seeds, Ginger Garlic Paste, Mutton, Onion, Salt, Tomato, Turmeric",Total in 42M,"Heat oil in a pan over medium heat. Add Onion and saute  golden brown. Add Garlic, Ginger and saute  1-2 minutes. Add Tomato and cook until it turns mushy. Add Turmeric Powder, Chili Powder and mix well. Add the main ingredients and coat with the masala. Add water as needed cover and cook until done. Season with Salt and serve.",A thyroid-friendly mutton recipe made with balanced spices and wholesome ingredients for better metabolism.,8,3
Authentic Vanjaram Fish Curry Curry,142,17,13,Spicy,"Chili Powder, Coconut, Fish, Garlic, Mustard Seeds, Salt, Tamarind",Total in 28M,Heat oil in a pan over medium heat. Add Mustard Seeds and let them splutter. Add Garlic and saute  1-2 minutes. Add Chili Powder and mix well. Add the main ingredients and coat with the masala. Add water as needed cover and cook until done. Add grated Coconut and cook for 2 more minutes. Season with Salt and serve.,A thyroid-friendly fish recipe made with balanced spices and wholesome ingredients for better metabolism.,4,2
Authentic Moong Dal Soup Style,166,12,13,Astringent,"Chickpea, Cowpea, Moong Dal, Mustard Seeds, Onion, Salt, Tomato",Total in 51M,Boil water in a pot. saute  until golden brown. Add Tomato and cook until soft. Add water and bring to a boil. Season with Salt and serve hot.,A thyroid-friendly legume recipe made with balanced spices and wholesome ingredients for better metabolism.,6,2
Homestyle Pepper Paneer Fry Bliss,272,6,29,Spicy,"Onion, Paneer, Pepper, Salt, Tomato",Total in 55M,Heat oil in a pan over medium heat. Add Onion and saute  translucent. Add the chopped vegetables and stir well. Cook on medium heat for 8-10 minutes stirring occasionally. Season with Salt and serve hot.,A thyroid-friendly paneer recipe made with balanced spices and wholesome ingredients for better metabolism.,10,2
Rustic Kudal Curry Variety,124,14,9,Spicy,"Chili Powder, Fennel Seeds, Ginger Garlic Paste, Mutton, Onion, Salt, Tomato, Turmeric",Total in 58M,"Heat oil in a pan over medium heat. Add Onion and saute  golden brown. Add Garlic, Ginger and saute  1-2 minutes. Add Tomato and cook until it turns mushy. Add Turmeric Powder, Chili Powder and mix well. Add the main ingredients and coat with the masala. Add water as needed cover and cook until done. Season with Salt and serve.",A thyroid-friendly mutton recipe made with balanced spices and wholesome ingredients for better metabolism.,10,3
Zesty Lemon Rasam Treat,191,16,20,Astringent,"Garlic, Lemon, Mustard Seeds, Pepper, Salt, Tamarind, Tomato, Water",Total in 68M,Boil water in a pot. saute  until golden brown. Add Tomato and cook until soft. Add water and bring to a boil. Add Tamarind extract and simmer for 5-7 minutes. Season with Salt and serve hot.,A thyroid-friendly soup recipe made with balanced spices and wholesome ingredients for better metabolism.,12,2
