name,ingredients,calories,protein,fat,carbohydrates,taste,health_tags
Vegetable Pulao,"rice,carrot,beans,onion,cumin",230,6.5,5,40,Savory,"Diabetes,Obesity"
Aloo Paratha,"whole wheat flour,potato,onion,green chili,ghee",320,7,12,45,"Spicy, Savory","PCOS,Cholesterol"
Moong Dal Khichdi,"moong dal,rice,carrot,cumin,turmeric",240,9,6,36,Savory,"Hypertension,Diabetes"
Chana Masala,"chickpeas,onion,tomato,garlic,spices",290,11,7,35,Savory,"Diabetes,Obesity"
Palak Paneer,"spinach,paneer,garlic,onion,oil",270,14,12.5,15,Savory,"PCOS,Cholesterol"
Masoor Dal Curry,"masoor dal,tomato,garlic,cumin,oil",220,10.5,5,28,Savory,"Hypertension,Vitamin Deficiency"
Vegetable Upma,"semolina,onion,carrot,beans,mustard seeds",200,5.5,4,30,Savory,"Obesity,Cholesterol"
Poha,"flattened rice,onion,peanuts,mustard seeds,turmeric",210,4,5,35,Savory,"PCOS,Diabetes"
Egg Bhurji,"egg,onion,tomato,green chili,oil",260,13,10,5,"Spicy, Savory, Tangy","Cholesterol,Obesity"
Vegetable Sambar,"toor dal,tamarind,onion,carrot,spices",180,6,3,25,Savory,"Hypertension,Vitamin Deficiency"
Oats Chilla,"oats,onion,carrot,green chili,curd",190,7,4,22,"Spicy, Savory","PCOS,Obesity"
Curd Rice,"rice,curd,mustard seeds,curry leaves,salt",220,6.5,4.5,35,Savory,"Diabetes,Hypertension"
Aloo Sabzi,"potato,onion,garlic,turmeric,oil",250,4,10,38,Savory,"Obesity,Cholesterol"
Paneer Bhurji,"paneer,onion,tomato,pepper,oil",300,14,15,10,Savory,"PCOS,Diabetes"
Spinach Dal,"spinach,toor dal,garlic,onion,cumin",200,8,4,25,Savory,"Diabetes,Vitamin Deficiency"
Chickpea Salad,"chickpeas,onion,tomato,lemon,coriander",190,10,3,20,Tangy,"PCOS,Hypertension"
Tomato Rasam,"tomato,garlic,pepper,mustard seeds,curry leaves",150,3,2,18,"Spicy, Savory, Tangy","Hypertension,Cholesterol"
Idli with Sambar,"urad dal,rice,sambar veggies,spices,salt",210,6,3,30,Savory,"Diabetes,Obesity"
Mixed Veg Curry,"carrot,beans,potato,onion,tomato,oil",260,5,8,32,"Savory, Tangy","PCOS,Cholesterol"
Boiled Egg Salad,"egg,onion,lettuce,lemon,pepper",230,12,9,6,"Spicy, Savory, Tangy","Obesity,Diabetes"
Banana Smoothie,"banana,milk,chia seeds,honey,cardamom",190,5,4,32,Sweet,"Vitamin Deficiency,PCOS"
Veg Fried Rice,"rice,onion,carrot,cabbage,soy sauce",280,6,7,40,Savory,"Cholesterol,Obesity"
Cabbage Poriyal,"cabbage,onion,mustard seeds,coconut,green chili",170,3,5,15,"Spicy, Savory","Diabetes,Hypertension"
Sprouts Chaat,"green gram sprouts,tomato,onion,lemon,coriander",180,10,2,18,Tangy,"PCOS,Vitamin Deficiency"
Vegetable Cutlet,"potato,carrot,peas,bread crumbs,spices",270,5,12,35,Savory,"Obesity,Cholesterol"
Plain Dosa,"rice,urad dal,oil,salt,water",240,5.5,6,35,Savory,"Diabetes,PCOS"
Aloo Poha,"flattened rice,potato,onion,turmeric,peanuts",220,4,6,33,Savory,"Obesity,Hypertension"
Palak Rice,"spinach,rice,onion,garlic,spices",210,5,4.5,30,Savory,"PCOS,Vitamin Deficiency"
Lemon Rice,"rice,mustard seeds,green chili,lemon,oil",230,4,5,35,"Spicy, Tangy","Diabetes,Cholesterol"
Bread Upma,"bread,onion,tomato,spices,oil",250,6,8,32,"Savory, Tangy","Obesity,Cholesterol"
Egg Curry,"egg,tomato,onion,garlic,spices",280,14,10,8,Savory,"PCOS,Cholesterol"
Egg Toast,"egg,bread,onion,pepper,salt",260,10,9,22,"Spicy, Savory","Cholesterol,Diabetes"
Moong Dal Khichdi,"moong dal,rice,ginger,cumin,ghee",230,8.5,5.5,32,Savory,"Illness,Easy Digest"
Chettinad Kozhi Rasam,"chicken,tomato,pepper,garlic,tamarind,ginger",190,15,4,10,"Spicy, Tangy","Cold,Immunity Boost"
Masoor Dal Soup,"masoor dal,onion,tomato,turmeric,garlic",170,9,2,18,Savory,"Illness,Light Meal"
Curd Rice,"rice,curd,mustard seeds,curry leaves,salt",210,6.5,4.5,35,Savory,"Gut Health,Easy Digest"
