Recipe Name,Ingredients,Preparation Time,Calories,Protein (g),Fat (g),Carbohydrates (g),Taste,Health Tags,Description,Instructions
Curry Leaf Rasam,"Tamarind Paste, Curry Leaves, Mustard Seeds, Garlic, Dried Red Chili, Turmeric, Salt, Oil",20 min,60,3,1,10,"Spicy, Tangy","Digestive Problems, Anti-inflammatory, Cold Relief",Curry leaves and tamarind improve digestion and provide anti-inflammatory benefits; good for cold relief.,"1. Soak tamarind in water, extract juice. 2. Heat oil, add mustard seeds, garlic, curry leaves, chili. 3. Add tamarind juice, turmeric, salt; simmer 10 min. Serve hot."
Tomato Pappu,"Toor Dal, Tomatoes, Mustard Seeds, Curry Leaves, Green Chili, Turmeric, Salt, Oil",30 min,140,8,3,20,"Tangy, Savory","Diabetes, Heart Disease, Cholesterol","Protein-rich dal with tomatoes aids blood sugar control, heart health, and cholesterol reduction.","1. Pressure cook dal. 2. Heat oil, temper mustard seeds, curry leaves, chili; add tomatoes, turmeric, salt. 3. Mix cooked dal with tomato mix; simmer 5 min. Serve hot."
Spinach Dal,"Toor Dal, Spinach, Mustard Seeds, Garlic, Dried Red Chili, Salt, Oil",30 min,130,9,2,18,"Savory, Pungent","Anemia, Heart Disease, Bone & Joint Problems","High in iron, calcium, and protein; aids anemia, heart, and bone health.","1. Pressure cook dal. 2. Heat oil, temper mustard seeds, garlic, chili; add chopped spinach, salt; cook till wilted. 3. Add dal; simmer 5 min. Serve hot."
Oats Pongal,"Oats, Moong Dal, Ginger, Black Pepper, Cumin Seeds, Curry Leaves, Salt, Ghee",25 min,210,8,7,30,"Savory, Mildly Spicy","Diabetes, Digestive Problems, Weight Management",High fiber and protein; ginger and pepper add digestive and anti-inflammatory benefits; low glycemic.,"1. Dry roast oats. 2. Pressure cook moong dal with water. 3. Heat ghee, temper cumin, pepper, ginger, curry leaves. 4. Add oats and dal, cook till thick. Serve warm."
Tomato Rice,"Cooked Rice, Tomatoes, Mustard Seeds, Green Chili, Curry Leaves, Turmeric, Salt, Oil",25 min,240,5,6,43,"Tangy, Spicy","Diabetes, Heart Disease, Digestive Problems",Fiber-rich rice with antioxidant tomatoes supports digestion and heart health.,"1. Heat oil, temper mustard seeds, curry leaves, chili. 2. Add chopped tomatoes, turmeric, salt; cook till soft. 3. Mix in cooked rice; stir well. Serve hot."
Ragi Mudde,"Ragi Flour, Water, Salt",20 min,160,5,1,35,"Neutral, Mild","Diabetes, Bone & Joint Problems, Weight Management",Ragi is high in calcium and fiber; great for bone health and managing blood sugar.,"1. Boil water with salt. 2. Add ragi flour gradually, stir vigorously, cook till thick and smooth. 3. Form into balls; serve with sambar or chutney."
Bottle Gourd Curry,"Bottle Gourd, Mustard Seeds, Green Chili, Curry Leaves, Turmeric, Salt, Oil",20 min,90,2,4,10,"Mild, Savory","Diabetes, Weight Management, Digestive Problems","Low calorie, high fiber curry; helps regulate blood sugar and supports digestion.","1. Heat oil, temper mustard seeds and curry leaves. 2. Add chopped bottle gourd, chili, turmeric, salt; cook till soft. 3. Serve warm."
Carrot Salad,"Carrot, Lemon, Mustard Seeds, Coriander Leaves, Salt",10 min,50,1,0,12,"Tangy, Sweet","Diabetes, Eye Health, Skin Health",Rich in beta carotene and vitamin C; supports vision and skin health.,"1. Grate carrot. 2. Heat mustard seeds till crackling; add to carrot with lemon juice, salt, coriander. Mix well; serve fresh."
Tomato Chutney,"Tomatoes, Mustard Seeds, Dry Red Chili, Salt, Oil",15 min,80,2,3,12,"Tangy, Spicy","Digestive Problems, Heart Disease",Antioxidant-rich chutney supporting digestion and cardiovascular health.,"1. Heat oil, temper mustard seeds and chili. 2. Add chopped tomatoes, salt; cook till soft. 3. Blend as desired. Serve fresh."
Drumstick Sambar,"Toor Dal, Drumstick, Tamarind, Mustard Seeds, Curry Leaves, Sambar Powder, Salt, Oil",40 min,160,8,3,22,"Spicy, Tangy","Diabetes, Heart Disease, Anemia","Drumsticks are rich in iron and potassium; combined with dal, it promotes heart health and anemia reduction.","1. Pressure cook dal and drumstick pieces. 2. Prepare tamarind water. 3. Temper mustard seeds, curry leaves. 4. Combine all with sambar powder, salt; simmer 10 min. Serve hot."
Moong Dal Khichdi,"Mong Dal, Brown Rice, Turmeric Powder, Salt, Ghee",30 min,220,8,7,30,Savory,Diabetes; Digestive Problems; Weight Management,A comforting porridge of lentils and rice rich in protein and fiber; turmeric provides anti-inflammatory benefits and supports digestion.,"1. Rinse dal and rice. 2. Heat ghee, add dal and rice, saut� 2 min. 3. Add 3 cups water, turmeric, salt; pressure cook 3 whistles. 4. Stir, adjust consistency; serve hot."
Ragi Dosa,"Ragi Flour, Urad Dal, Salt, Water, Oil",12 hrs ferment + 20 min,180,6,3,28,"Savory, Nutty",Diabetes; Bone & Joint Problems; Heart Disease,Low-glycemic dosa made with calcium-rich ragi flour; aids blood sugar control and supports bone health.,"1. Soak urad dal, grind with water to batter. 2. Mix ragi flour and salt, ferment overnight. 3. Spread on hot pan with oil, cook both sides; serve with chutney or sambar."
Sweetcorn Sundal,"Sweetcorn Kernels, Mustard Seeds, Green Chili, Curry Leaves, Salt, Oil",20 min,110,4,2,20,"Savory, Mildly Spicy",Diabetes; Heart Disease; Weight Management,"Simple stir-fry of sweetcorn rich in fiber, B-vitamins, and antioxidants; supports heart health and weight control.","1. Boil sweetcorn, drain. 2. Heat oil, temper mustard seeds, curry leaves, chili. 3. Add sweetcorn and salt, saut� 3 min; serve warm."
Avocado Spinach Salad,"Avocados, Spinach, Sugar, Salt",10 min,140,3,9,12,Savory,Heart Disease; Eye Health; Skin & Hair Problems,"Creamy avocado and fresh spinach provide healthy fats, lutein, and vitamin E; supports cardiovascular, eye, and skin health.","1. Slice avocado, chop spinach. 2. Toss with pinch of sugar and salt; serve immediately."
Tomato Drumstick Curry,"Tomatoes, Drumstick Pods, Mustard Seeds, Turmeric Powder, Salt, Oil",30 min,130,6,3,18,"Spicy, Tangy",Diabetes; Anemia; Potassium Deficiency,"Drumstick is rich in iron and potassium; combined with tomatoes� vitamin C, aids anemia and electrolyte balance.","1. Heat oil, temper mustard seeds. 2. Add chopped tomatoes, turmeric, salt; cook 5 min. 3. Add drumstick pieces and water, simmer 15 min; serve with rice."
Banana Oats Porridge,"Oats, Banana, Water, Sugar, Salt",15 min,200,5,2,40,"Sweet, Savory",Diabetes; Digestive Problems; Weight Management,Bananas add potassium and natural sweetness; oats provide soluble fiber for blood sugar control and digestion.,"1. Mash banana. 2. Boil water, add oats, mashed banana, sugar, salt; cook till thick; serve warm."
Beetroot Raita,"Beetroot, Yogurt, Sugar, Salt",15 min,100,4,3,12,"Savory, Slightly Sweet",Anemia; Skin Health; Digestive Problems,"Beetroot and yogurt combine iron, probiotics, and vitamins; supports blood health, skin, and gut flora.",1. Boil and grate beetroot. 2. Whisk yogurt with sugar and salt. 3. Fold in beetroot; serve chilled.
Garlic Broccoli Stir Fry,"Broccoli Florets, Garlic, Salt, Oil",15 min,80,4,3,8,"Savory, Pungent",Anti-inflammatory; Heart Disease; Bone & Joint Problems,Broccoli and garlic deliver anti-inflammatory compounds and calcium; supports heart health and joint function.,"1. Heat oil, saut� sliced garlic. 2. Add broccoli and salt, stir-fry till tender-crisp; serve hot."
Chana Sundal,"Chickpeas, Mustard Seeds, Curry Leaves, Dried Red Chili, Salt, Oil",25 min,160,7,4,25,"Savory, Spicy",Diabetes; Heart Disease; Protein Deficiency,"High-protein chickpeas seasoned simply; supports blood sugar control, heart health, and muscle maintenance.","1. Soak and boil chickpeas. 2. Heat oil, temper mustard seeds, curry leaves, chili. 3. Add chickpeas and salt, saut� 5 min; serve warm."
Cabbage Thoran,"Cabbage, Coconut (Grated), Mustard Seeds, Urad Dal, Curry Leaves, Salt, Oil",20 min,110,3,5,15,Savory,Digestive Problems; Weight Management; Heart Disease,Stir-fried cabbage with coconut provides fiber and medium-chain fats; aids digestion and heart health.,"1. Heat oil, temper mustard seeds, urad dal, curry leaves. 2. Add shredded cabbage and salt, cook till soft. 3. Mix in grated coconut; serve hot."
Baby Corn Kurma,"Baby Corn, Coconut, Mustard Seeds, Curry Leaves, Turmeric, Salt, Sunflower Oil",30 min,150,4,8,18,"Savory, Mild",Diabetes; Weight Management; Heart Disease,Creamy baby corn curry rich in fiber and healthy fats supports blood sugar and cardiac health.,"1. Heat oil, temper mustard seeds, curry leaves. 2. Add baby corn and turmeric; cook 10 min. 3. Add coconut paste, salt; simmer 10 min; serve hot."
Paneer Bhurji,"Paneer, Onions, Tomatoes, Green Chili, Turmeric, Salt, Ghee",25 min,220,14,16,6,"Savory, Spicy",Diabetes; Weight Gain; Bone & Joint Problems,Rich in protein and calcium; good for muscle and bone health while being moderate carb for diabetes.,"1. Crumble paneer. 2. Heat ghee, saut� onions, chili, tomatoes, turmeric, salt. 3. Add paneer, mix and cook 5 min. Serve hot."
